Teams,williamhill,bwin,betstars,unibet
Paris Saint-Germain,Paris,Paris Saint-Germain,PSG,Paris SG
AS Monaco,Monaco,AS Monaco,Monaco,Monaco
Olympique Lyonnais,Lyon,Olympique Lyonnais,Lyon,Lyon
Olympique de Marseille,Marseille,Olympique de Marseille,Marseille,Marseille
FC Nantes,Nantes,FC Nantes,Nantes,Nantes
AS Saint-Etienne,Saint-Etienne,AS Saint-Etienne,Saint-Etienne,Saint-Etienne
SM Caen,SM,Stade Malherbe Caen,Caen,Caen
Montpellier HSC,Montpellier,Montpellier HSC,Montpellier,Montpellier
Girondins de Bordeaux,Bordeaux, Girondins de Bordeaux,Bordeaux,Bordeaux
Stade Rennais,Rennes,Stade Rennais,Rennes,Rennes
ESTAC Troyes,Troyes,Troyes,ES Troyes AC,Troyes
Toulouse FC,Toulouse,Toulouse FC,Toulouse,Toulouse
En Avant de Guingamp,Guingamp,EA Guingamp,Guingamp,Guingamp
Angers SCO,Angers,Angers SCO,SCO Angers,Angers
OGC Nice,Nice,OGC Nice,Nice,Nice
Dijon FCO,Dijon,Dijon FCO,Dijon FCO,Dijon
Amiens SC,Amiens,Amiens SC,Amiens SC,Amiens SC
RC Strasbourg Alsace,Strasbourg,RC Strasbourg,Racing Club de Strasbourg,Strasbourg
Lille OSC,Lille,LOSC Lille Metropole,Lille,Lille
FC Metz,Metz,FC Metz,Metz,Metz
