home,visitor,oddh,oddd,oddv,website
Lille,Etienne,2.45,3.1,3,william hill
Amiens,  Mónaco,6,4,1.55,william hill
PSG,  Nantes,1.1,9.5,21,william hill
Dijon,  Troyes,1.91,3.5,4,william hill
Toulouse,  Metz,1.73,3.6,5,william hill
Estrasburgo,  Rennes,2.37,3.25,3,william hill
Guingamp,  Angers,2.25,3.2,3.3,william hill
Caen,  Niza,2.5,3.2,2.87,william hill
Lyon,  Montpellier,1.36,4.8,8.5,william hill
Burdeos,  Marsella,2.3,3.4,3,william hill
Paris Saint-Germain,Nantes,1.08,10,23,bwin
Amiens SC,Mónaco,6.25,4.2,1.48,bwin
Olympique de Lyon,Montpellier HSC,1.35,4.75,8.5,bwin
Lille,AS Saint-Etienne,2.4,3.1,3,bwin
Dijon FCO,Estac Troyes,1.83,3.4,4.4,bwin
EA Guingamp,Angers SCO,2.2,3.1,3.4,bwin
Racing de Estrasburgo,Stade Rennais,2.35,3.1,3.1,bwin
Toulouse FC,Metz,1.7,3.4,5.25,bwin
Caen,OGC Niza,2.5,3.2,2.8,bwin
Girondins de Burdeos,Olympique de Marsella,2.25,3.2,3.2,bwin
AS Saint-Etienne,Racing de Estrasburgo,1.55,3.65,6.75,bwin
Stade Rennais,Nantes,2.5,3.1,2.9,bwin
Caen,Girondins de Burdeos,3,3.3,2.3,bwin
Dijon FCO,Toulouse FC,2.25,3.1,3.3,bwin
Metz,Amiens SC,1.9,3.2,4.25,bwin
Montpellier HSC,Lille,1.95,3.25,4,bwin
Estac Troyes,Angers SCO,2.55,3.1,2.8,bwin
OGC Niza,Olympique de Lyon,3.05,3.15,2.35,bwin
Olympique de Marsella,EA Guingamp,1.4,4.5,7.5,bwin
Mónaco,Paris Saint-Germain,5.6,4,1.55,bwin
Amiens,Nice,1.62,4.6,3.7,bwin
Bourg-Peronnas,Valenciennes FC,2.4,2.85,3.2,bwin
Rouen,Olympique de Lyon,1.36,5.75,5.25,bwin
Strasbourg,Chamonix,2.2,4.33,2.4,bwin
Epinal,Grenoble,3,4.6,1.83,bwin
Angers,Burdeos,2.85,4.6,1.87,bwin
Gap,Mulhouse,1.28,6.25,6.25,bwin
Chateauroux,Tours FC,2.15,3,3.5,bwin
Clermont Foot,Auxerre,2.05,3.1,3.75,bwin
GFC Ajaccio,Le Havre AC,2.35,2.95,3.2,bwin
AS Nancy Lorraine,AC Ajaccio,2.1,3,3.7,bwin
US Quevilly,US Orleans,2.85,3,2.55,bwin
FC Sochaux Montbeliard,Nimes Olympique,2.85,3.25,2.4,bwin
Stade Reims,Paris FC,1.75,3.25,5,bwin
FC Lorient,Stade Brestois 29,1.75,3.4,4.6,bwin
Lens,Chamois Niortais FC,1.67,3.4,5.25,bwin
Paris Saint-Germain,Nantes,1.08,10,23,bwin
Amiens SC,Mónaco,6.25,4.2,1.48,bwin
Olympique de Lyon,Montpellier HSC,1.35,4.75,8.5,bwin
Lille,AS Saint-Etienne,2.4,3.1,3,bwin
Dijon FCO,Estac Troyes,1.83,3.4,4.4,bwin
EA Guingamp,Angers SCO,2.2,3.1,3.4,bwin
Racing de Estrasburgo,Stade Rennais,2.35,3.1,3.1,bwin
Toulouse FC,Metz,1.7,3.4,5.25,bwin
Caen,OGC Niza,2.5,3.2,2.8,bwin
Girondins de Burdeos,Olympique de Marsella,2.25,3.2,3.2,bwin
AS Saint-Etienne,Racing de Estrasburgo,1.55,3.65,6.75,bwin
Stade Rennais,Nantes,2.5,3.1,2.9,bwin
Caen,Girondins de Burdeos,3,3.3,2.3,bwin
Dijon FCO,Toulouse FC,2.25,3.1,3.3,bwin
Metz,Amiens SC,1.9,3.2,4.25,bwin
Montpellier HSC,Lille,1.95,3.25,4,bwin
Estac Troyes,Angers SCO,2.55,3.1,2.8,bwin
OGC Niza,Olympique de Lyon,3.05,3.15,2.35,bwin
Olympique de Marsella,EA Guingamp,1.4,4.5,7.5,bwin
Mónaco,Paris Saint-Germain,5.6,4,1.55,bwin
Amiens,Nice,1.62,4.6,3.7,bwin
Bourg-Peronnas,Valenciennes FC,2.4,2.85,3.2,bwin
Rouen,Olympique de Lyon,1.36,5.75,5.25,bwin
Strasbourg,Chamonix,2.2,4.33,2.4,bwin
Epinal,Grenoble,3,4.6,1.83,bwin
Angers,Burdeos,2.85,4.6,1.87,bwin
Gap,Mulhouse,1.28,6.25,6.25,bwin
Chateauroux,Tours FC,2.15,3,3.5,bwin
Clermont Foot,Auxerre,2.05,3.1,3.75,bwin
GFC Ajaccio,Le Havre AC,2.35,2.95,3.2,bwin
AS Nancy Lorraine,AC Ajaccio,2.1,3,3.7,bwin
US Quevilly,US Orleans,2.85,3,2.55,bwin
FC Sochaux Montbeliard,Nimes Olympique,2.85,3.25,2.4,bwin
Stade Reims,Paris FC,1.75,3.25,5,bwin
FC Lorient,Stade Brestois 29,1.75,3.4,4.6,bwin
Lens,Chamois Niortais FC,1.67,3.4,5.25,bwin
Lille,Saint-Étienne,2.25,3.2,3.35,unibet
Amiens,Monaco,6.25,4,1.52,unibet
Paris SG,Nantes,1.1,10,20,unibet
Dijon,Troyes,1.85,3.5,4.25,unibet
Guingamp,Angers,2.2,3.3,3.4,unibet
Strasbourg,Rennes,2.3,3.2,3.3,unibet
